week_end,indicator,high_industry,value
18/08/2019,Number of Paid Jobs - 27 days,Total,2128220
25/08/2019,Number of Paid Jobs - 6 days,A Primary,67780
25/08/2019,Number of Paid Jobs - 6 days,B Goods Producing,345890
25/08/2019,Number of Paid Jobs - 6 days,C Services,1251460
25/08/2019,Number of Paid Jobs - 6 days,Total,1688210
25/08/2019,Number of Paid Jobs - 13 days,A Primary,87090
25/08/2019,Number of Paid Jobs - 13 days,B Goods Producing,393270
25/08/2019,Number of Paid Jobs - 13 days,C Services,1560930
25/08/2019,Number of Paid Jobs - 13 days,Total,2071090
25/08/2019,Number of Paid Jobs - 27 days,A Primary,91200
25/08/2019,Number of Paid Jobs - 27 days,B Goods Producing,400140
25/08/2019,Number of Paid Jobs - 27 days,C Services,1609240
25/08/2019,Number of Paid Jobs - 27 days,Total,2132180
01/09/2019,Number of Paid Jobs - 6 days,A Primary,67580
01/09/2019,Number of Paid Jobs - 6 days,B Goods Producing,355780
01/09/2019,Number of Paid Jobs - 6 days,C Services,1240750
01/09/2019,Number of Paid Jobs - 6 days,Total,1690220
01/09/2019,Number of Paid Jobs - 13 days,A Primary,86580
01/09/2019,Number of Paid Jobs - 13 days,B Goods Producing,394090
01/09/2019,Number of Paid Jobs - 13 days,C Services,1543850
01/09/2019,Number of Paid Jobs - 13 days,Total,2056410
01/09/2019,Number of Paid Jobs - 27 days,A Primary,91790
01/09/2019,Number of Paid Jobs - 27 days,B Goods Producing,402190
01/09/2019,Number of Paid Jobs - 27 days,C Services,1604150
01/09/2019,Number of Paid Jobs - 27 days,Total,2132270
08/09/2019,Number of Paid Jobs - 6 days,A Primary,61930
08/09/2019,Number of Paid Jobs - 6 days,B Goods Producing,314970
08/09/2019,Number of Paid Jobs - 6 days,C Services,1142730
08/09/2019,Number of Paid Jobs - 6 days,Total,1541590
08/09/2019,Number of Paid Jobs - 13 days,A Primary,83880
08/09/2019,Number of Paid Jobs - 13 days,B Goods Producing,383040
08/09/2019,Number of Paid Jobs - 13 days,C Services,1485490
08/09/2019,Number of Paid Jobs - 13 days,Total,1979940
08/09/2019,Number of Paid Jobs - 27 days,A Primary,91140
